"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"20","300.7352915650815","70.63047017703377","0.010986328125","0.0020023153563456424","0.013916015625","0.008056640625","2180","0.00036489607191322415","32","0.00036489607191322415","0","0.00036489607191322415","0.00036489607191322415","21:0.0020911554061594506","21:68","21:0.0026884936030487916","0.010986328125","0.00830078125","Yes"
"21","401.83320940987863","431.13863089296075","0.0072021484375","0.0005036278234769393","0.00830078125","0.006103515625","2180","0.00016840164194660006","32","0.00016840164194660006","0","0.00016840164194660006","0.00016840164194660006","36:0.0015051838837529252;20:0.0020911554061594506;22:0.001917509569953818","36:68;20:68;22:68","36:0.0011929411133624057;20:0.0026884936030487916;22:0.0018154637376239513","0.0072021484375","0.00341796875","Yes"
"22","127.79281832996567","111.00146906444566","0.0220947265625","","0.020263671875","0.02392578125","2180","0.00036318773581383174","32","0.00036318773581383174","0","0.00036318773581383174","0.00036318773581383174","23:0.0016860325616327443;21:0.001917509569953818","23:68;21:68","23:0.0014307549881527881;21:0.0018154637376239513","0.0220947265625","0.0283203125","Yes"
"23","318.43910702246944","61.90815196047269","0.0076904296875","0.00146478403927886","0.008544921875","0.0068359375","2180","0.00009004599594800826","32","0.00009004599594800826","0","0.00009004599594800826","0.00009004599594800826","22:0.0016860325616327443;24:0.0018612876977206483;16:0.0013135293800221604","22:68;24:68;16:68","22:0.0014307549881527881;24:0.0014619789017516205;16:0.0010198148737358692","0.0076904296875","0.008544921875","Yes"
"24","284.3645022168127","45.26031432941898","0.022705078125","","0.028564453125","0.016845703125","2180","0.00042193688990729963","32","0.00042193688990729963","0","0.00042193688990729963","0.00042193688990729963","23:0.0018612876977206483;25:0.002450072539341347","23:68;25:68","23:0.0014619789017516205;25:0.0027771973378162285","0.022705078125","0.039794921875","Yes"
"25","352.84390034740477","23.191642169192217","0.0072021484375","0.00239759637680923","0.0107421875","0.003662109375","2180","0.00026027204073525716","32","0.00026027204073525716","0","0.00026027204073525716","0.00026027204073525716","24:0.002450072539341347;26:0.0016325610743658514;37:0.0018182796568329274","24:68;26:68;37:68","24:0.0027771973378162285;26:0.002097519719566482;37:0.002655243566216353","0.0072021484375","0.00927734375","Yes"
"26","204.67643903148485","91.86223766945321","0.0166015625","0.0012341626652039596","0.021484375","0.01171875","2180","0.00021743550115815144","32","0.00021743550115815144","0","0.00021743550115815144","0.00021743550115815144","25:0.0016325610743658514;27:0.001687842650119259","25:68;27:68","25:0.002097519719566482;27:0.001718958764542755","0.0166015625","0.023681640625","Yes"
"27","347.46985387893125","47.16863218350931","0.012939453125","0.0065635342897453295","0.01708984375","0.010498046875","2180","0.000242116162582748","32","0.000242116162582748","0","0.000242116162582748","0.000242116162582748","26:0.001687842650119259;28:0.0013492136149841627;17:0.0012994409796859008","26:68;28:68;17:68","26:0.001718958764542755;28:0.0012909181556959304;17:0.0014514480851181566","0.012939453125","0.02197265625","Yes"
"28","228.899346957805","264.2887810154916","0.0115966796875","0.0019550152187422115","0.017333984375","0.005859375","2180","0.00019776796042437795","32","0.00019776796042437795","0","0.00019776796042437795","0.00019776796042437795","27:0.0013492136149841627;29:0.0025354760230276996","27:68;29:68","27:0.0012909181556959304;29:0.002564900440691603","0.0115966796875","0.008544921875","Yes"
"29","170.43162562041","77.46245699870599","0.009033203125","0.0009508319628410147","0.0107421875","0.00732421875","2180","0.00016943088716059787","32","0.00016943088716059787","0","0.00016943088716059787","0.00016943088716059787","38:0.005300702925209955;28:0.0025354760230276996;30:0.0018419182360543962","38:68;28:68;30:80","38:0.0030200444989952058;28:0.002564900440691603;30:0.0011961438122350954","0.009033203125","0.0048828125","Yes"
